"2","0019002","仮性小児コレラ","9","0088005","0088005","ロタウイルス性腸炎"
"2","0049003","細菌性赤痢","9","0049005","0049005","赤痢"
"2","0050001","ぶどう球菌性食中毒","9","0050002","0050002","ぶどう球菌食中毒"
"2","0051002","ボツリヌス食中毒","9","8840201","8840201","ボツリヌス中毒"
"2","0051004","ボツリヌス菌食中毒","9","8840201","8840201","ボツリヌス中毒"
"2","0058001","セレウス食中毒","9","8836060","8836060","セレウス菌食中毒"
"2","0058002","レンサ球菌食中毒","9","8841184","8841184","連鎖球菌食中毒"
"2","0059001","急性食中毒","9","0059003","0059003","食中毒"
"3","0059007","食あたり","9","","0059003","食中毒"
"2","0059008","食物中毒","9","0059003","0059003","食中毒"
"2","0085001","急性細菌性腸炎","9","0085004","0085004","細菌性腸炎"
"2","0085002","細菌性下痢（症）","9","8833937","8833937","細菌性下痢症"
"2","0090008","腸管感染症","9","0090003","0090003","感染性腸炎"
"2","0090010","急性感染性胃腸炎","9","0090001","0090001","感染性胃腸炎"
"2","0090011","伝染性胃腸炎","9","0088007","0088007","伝染性下痢症"
"2","0090012","腸内感染","9","0090003","0090003","感染性腸炎"
"2","0090013","腸管感染","9","0090003","0090003","感染性腸炎"
"2","0090014","急性感染性腸炎","9","0090003","0090003","感染性腸炎"
"3","0091001","うっ血性胃腸炎","9","","5580033","慢性胃腸炎"
"3","0091003","胃カタル","9","","5350004","急性胃炎"
"2","0091004","胃腸カタル","9","0091002","0091002","カタル性胃腸炎"
"2","0091011","急性大腸カタル","9","0091012","0091012","急性大腸炎"
"2","0091013","急性腸カタル","9","0091014","0091014","急性腸炎"
"2","0091017","結腸炎","9","0091021","0091021","大腸炎"
"2","0091020","大腸カタル","9","0091021","0091021","大腸炎"
"2","0091024","腸感冒","9","0090007","0090007","感冒性腸炎"
"2","0091029","流行性胃腸炎","9","0090001","0090001","感染性胃腸炎"
"2","0093001","下痢（症）","9","8833267","8833267","下痢症"
"2","0093004","急性乳児下痢症","9","0093021","0093021","乳児下痢"
"2","0093013","乳児下痢症","9","0093021","0093021","乳児下痢"
"2","0093014","乳児冬季下痢症","9","8838431","8838431","乳児冬期下痢症"
"2","0093015","乳幼児下痢症","9","8838431","8838431","乳児冬期下痢症"
"2","0093023","常習性下痢","9","5580021","5580021","習慣性下痢"
"2","0110002","肺浸潤","9","8838810","8838810","肺結核"
"2","0118001","活動性肺結核症","9","8831388","8831388","活動性肺結核"
"2","0119001","ＴＢ","9","8833031","8833031","結核"
"2","0119002","結核（症）","9","8833031","8833031","結核"
"2","0119011","肺結核（症）","9","8838810","8838810","肺結核"
"2","0119014","口腔粘膜結核症","9","8833411","8833411","口腔粘膜結核"
"2","0120001","胸膜結核","9","0120002","0120002","結核性胸膜炎"
"2","0120008","結核性肋膜炎","9","0120002","0120002","結核性胸膜炎"
"2","0149015","腸結核（症）","9","8837714","8837714","腸結核"
"2","0149018","腹膜結核","9","0149007","0149007","結核性腹膜炎"
"2","0150008","脊椎カリエス","9","8836011","8836011","脊椎結核"
"2","0160005","腎臓結核","9","0160003","0160003","腎結核"
"2","0161005","結核性膀胱炎","9","0161010","0161010","膀胱結核"
"2","0162002","副睾丸結核","9","0163009","0163009","精巣上体結核"
"2","0163003","結核性睾丸炎","9","0163005","0163005","精巣結核"
"2","0163008","睾丸結核","9","0163005","0163005","精巣結核"
"4","0164002","結核性子宮内膜炎","9","","8837426","ダグラス窩結核"
"4","0164005","女性性器結核","9","","0169001","性器結核"
"2","0170001","いぼ状皮膚結核","9","0170015","0170015","皮膚疣状結核"
"2","0170003","粟粒性狼瘡","9","0189005","0189005","皮膚粟粒結核"
"2","0170007","丘疹状壊疽性結核","9","0170006","0170006","壊疽性丘疹状結核疹"
"4","0170012","潰瘍性尋常性狼瘡","9","","0170011","尋常性狼瘡"
"2","0170018","狼瘡","9","7100011","7100011","全身性エリテマトーデス"
"3","0170025","皮脂性狼瘡","9","","0170011","尋常性狼瘡"
